#Energy(keV)	Aeff(cm^2)_for_	Total
0.1	37.41251367126282	37.41251367126282
0.199	33.6358184116315	33.6358184116315
0.29800000000000004	31.26310828340688	31.26310828340688
0.397	30.95232165738904	30.95232165738904
0.496	30.762441753032657	30.762441753032657
0.595	30.484615392721718	30.484615392721718
0.6940000000000001	30.406334808408353	30.406334808408353
0.793	30.323181121983946	30.323181121983946
0.892	30.394338062135493	30.394338062135493
0.991	30.569180511902086	30.569180511902086
1.09	30.85349292285439	30.85349292285439
1.189	31.062980577049036	31.062980577049036
1.2880000000000003	31.11134272200451	31.11134272200451
1.3870000000000002	31.19517895381399	31.19517895381399
1.4860000000000002	31.204473660401636	31.204473660401636
1.5850000000000002	31.363750795500373	31.363750795500373
1.6840000000000002	31.347884912781197	31.347884912781197
1.7830000000000001	31.20555295234242	31.20555295234242
1.8820000000000001	30.978239199879113	30.978239199879113
1.981	30.733500288046947	30.733500288046947
2.08	30.254085116778906	30.254085116778906
2.1790000000000003	29.114638757947795	29.114638757947795
2.278	18.063917225685625	18.063917225685625
2.3770000000000002	16.88885030164048	16.88885030164048
2.4760000000000004	18.52778907200365	18.52778907200365
2.575	19.275983770825064	19.275983770825064
2.6740000000000004	19.28677445767276	19.28677445767276
2.773	18.32967210984844	18.32967210984844
2.8720000000000003	19.091523680242553	19.091523680242553
2.971	19.60276405741642	19.60276405741642
3.0700000000000003	19.902529388247608	19.902529388247608
3.169	19.761630677835768	19.761630677835768
3.2680000000000002	19.931552501763125	19.931552501763125
3.3670000000000004	20.191278329976907	20.191278329976907
3.466	20.19427165137672	20.19427165137672
3.5650000000000004	20.558161373263165	20.558161373263165
3.664	20.77312606063994	20.77312606063994
3.7630000000000003	20.946235994296835	20.946235994296835
3.862	21.120054662237173	21.120054662237173
3.9610000000000003	21.27085717766245	21.27085717766245
4.06	21.40804089539258	21.40804089539258
4.159	21.54480338481703	21.54480338481703
4.258	21.6707241761993	21.6707241761993
4.357	21.683674344974342	21.683674344974342
4.4559999999999995	21.75132161610705	21.75132161610705
4.555	21.81885811968745	21.81885811968745
4.654	21.872221276645064	21.872221276645064
4.753	21.915579957145614	21.915579957145614
4.852	21.938210855053818	21.938210855053818
4.951	21.946120680128722	21.946120680128722
5.05	21.92487991556777	21.92487991556777
5.149	21.916720097800383	21.916720097800383
5.248	21.886759332079293	21.886759332079293
5.3469999999999995	21.85477015834557	21.85477015834557
5.446	21.885219818330402	21.885219818330402
5.545	21.871390793299433	21.871390793299433
5.644	21.84389706971973	21.84389706971973
5.743	21.798202109220714	21.798202109220714
5.842	21.740729907758098	21.740729907758098
5.941	21.73686809201621	21.73686809201621
6.04	21.64686728230335	21.64686728230335
6.139	21.598847522319122	21.598847522319122
6.2379999999999995	21.53702458517822	21.53702458517822
6.337	21.459107204125107	21.459107204125107
6.436	21.370876578083628	21.370876578083628
6.535	21.270605747820227	21.270605747820227
6.634	21.156404585956178	21.156404585956178
6.733	21.029217258253958	21.029217258253958
6.832	20.88673451989273	20.88673451989273
6.931	20.727420738575045	20.727420738575045
7.03	20.54902364851517	20.54902364851517
7.129	20.35417947813253	20.35417947813253
7.228	20.13769453549497	20.13769453549497
7.327	19.89721101806295	19.89721101806295
7.426	19.624483579166768	19.624483579166768
7.525	19.325071738178664	19.325071738178664
7.624	18.99477138799514	18.99477138799514
7.723	18.619087948826166	18.619087948826166
7.822	18.200576205157784	18.200576205157784
7.921	17.732074076652292	17.732074076652292
8.02	17.204037215227892	17.204037215227892
8.119	16.598881707674533	16.598881707674533
8.218	15.905109346612573	15.905109346612573
8.317	15.117821845840925	15.117821845840925
8.416	14.203728120574377	14.203728120574377
8.515	13.141520369893337	13.141520369893337
8.614	11.908474059144721	11.908474059144721
8.713	10.51989627719706	10.51989627719706
8.812	8.982547579277542	8.982547579277542
8.911	7.384797629314058	7.384797629314058
9.01	5.8868075675666836	5.8868075675666836
9.109	4.604573083958706	4.604573083958706
9.208	3.5796859889721224	3.5796859889721224
9.307	2.799883295777206	2.799883295777206
9.406	2.2051297411285167	2.2051297411285167
9.505	1.7573241851510422	1.7573241851510422
9.604000000000001	1.416826432706753	1.416826432706753
9.703	1.1543999483685923	1.1543999483685923
9.802	0.9498075752777454	0.9498075752777454
9.901	0.7864557454174426	0.7864557454174426
