 Nshell   Dmax(mm)   Dmid(mm)   Dmin(mm)   thickness(mm)   Angle(rad)   Area(cm^2)  Mass(kg)	Shell_length1	Shell_length2
   1    3021.495139    3021.480032    3021.434709        .702290        .000038        .717017      23.465383     200.000000     200.000000
   2    3017.730175    3017.715086    3017.669820        .701913        .000038        .715231      23.423577     200.000000     200.000000
   3    3013.965982    3013.950912    3013.905703        .701537        .000038        .713448      23.381811     200.000000     200.000000
   4    3010.202561    3010.187511    3010.142358        .701160        .000038        .711667      23.340085     200.000000     200.000000
   5    3006.439912    3006.424880    3006.379784        .700784        .000038        .709889      23.298399     200.000000     200.000000
   6    3002.678035    3002.663022    3002.617982        .700408        .000038        .708114      23.256753     200.000000     200.000000
   7    2998.916929    2998.901934    2998.856951        .700032        .000037        .706341      23.215146     200.000000     200.000000
   8    2995.156594    2995.141618    2995.096691        .699656        .000037        .704571      23.173580     200.000000     200.000000
   9    2991.397030    2991.382073    2991.337202        .699280        .000037        .702803      23.132053     200.000000     200.000000
  10    2987.638236    2987.623298    2987.578484        .698904        .000037        .701038      23.090566     200.000000     200.000000
  11    2983.880214    2983.865295    2983.820537        .698528        .000037        .699275      23.049118     200.000000     200.000000
  12    2980.122962    2980.108062    2980.063360        .698152        .000037        .697516      23.007711     200.000000     200.000000
  13    2976.366481    2976.351599    2976.306954        .697776        .000037        .695758      22.966343     200.000000     200.000000
  14    2972.610769    2972.595906    2972.551317        .697401        .000037        .694003      22.925014     200.000000     200.000000
  15    2968.855828    2968.840984    2968.796451        .697025        .000037        .692251      22.883726     200.000000     200.000000
  16    2965.101657    2965.086831    2965.042355        .696649        .000037        .690502      22.842477     200.000000     200.000000
  17    2961.348255    2961.333448    2961.289028        .696274        .000037        .688755      22.801268     200.000000     200.000000
  18    2957.595623    2957.580835    2957.536471        .695899        .000037        .687010      22.760098     200.000000     200.000000
  19    2953.843761    2953.828991    2953.784684        .695523        .000037        .685268      22.718968     200.000000     200.000000
  20    2950.092667    2950.077917    2950.033666        .695148        .000037        .683529      22.677877     200.000000     200.000000
  21    2946.342343    2946.327611    2946.283417        .694773        .000037        .681792      22.636826     200.000000     200.000000
  22    2942.592788    2942.578075    2942.533936        .694398        .000037        .680058      22.595815     200.000000     200.000000
  23    2938.844001    2938.829307    2938.785225        .694023        .000037        .678326      22.554843     200.000000     200.000000
  24    2935.095984    2935.081308    2935.037282        .693648        .000037        .676597      22.513910     200.000000     200.000000
  25    2931.348735    2931.334078    2931.290108        .693274        .000037        .674871      22.473017     200.000000     200.000000
  26    2927.602254    2927.587616    2927.543702        .692899        .000037        .673147      22.432164     200.000000     200.000000
  27    2923.856541    2923.841922    2923.798064        .692524        .000037        .671425      22.391350     200.000000     200.000000
  28    2920.111596    2920.096996    2920.053194        .692150        .000037        .669706      22.350575     200.000000     200.000000
  29    2916.367419    2916.352838    2916.309092        .691775        .000036        .667990      22.309839     200.000000     200.000000
