 Nshell   Dmax(mm)   Dmid(mm)   Dmin(mm)   thickness(mm)   Angle(rad)   Area(cm^2)  Mass(kg)	Shell_length1	Shell_length2
   1     152.383191     150.000000     142.759589       0.200000       0.026684   80753.142203       0.055206      45.000000      45.000000
   2     149.485332     147.147156     140.044006       0.200000       0.026180   84224.596297       0.054152      45.000000      45.000000
   3     146.632488     144.338646     137.370647       0.200000       0.025684   87845.131891       0.053114      45.000000      45.000000
   4     143.823977     141.573795     134.738871       0.200000       0.025195   91621.916394       0.052092      45.000000      45.000000
   5     141.059127     138.851942     132.148046       0.200000       0.024714   95562.509743       0.051087      45.000000      45.000000
   6     138.337274     136.172431     129.597546       0.200000       0.024240   99674.889063       0.050097      45.000000      45.000000
   7     135.657763     133.534619     127.086758       0.200000       0.023774  103967.475106       0.049123      45.000000      45.000000
   8     133.019951     130.937870     124.615074       0.200000       0.023314  108449.160602       0.048165      45.000000      45.000000
   9     130.423202     128.381557     122.181897       0.200000       0.022861  113129.340686       0.047221      45.000000      45.000000
  10     127.866889     125.865062     119.786638       0.200000       0.022416  118017.945579       0.046292      45.000000      45.000000
  11     125.350394     123.387777     117.428717       0.200000       0.021977  123125.475699       0.045379      45.000000      45.000000
  12     122.873109     120.949101     115.107560       0.200000       0.021545  128463.039424       0.044479      45.000000      45.000000
